dx1_measured,dy1_measured,dx2_measured,dy2_measured,dx_odom,dy_odom,dz_odom,dyaw_odom
2,6,1,-5,1,0,0,-0.394
1,-2,1,3,1,0,0,-0.167
1,0,0,3,1,1,0,-0.203
3,7,1,3,1,0,0,-0.370
2,-2,1,5,1,-1,0,-0.136
1,-3,0,5,1,-1,0,-0.122
1,3,1,-1,1,-1,0,-0.305
2,-4,1,4,0,-1,0,0.141
1,4,1,-2,0,-1,0,-0.321
2,-2,2,2,-1,1,0,-0.191
2,0,1,2,0,-1,0,-0.213
1,-2,1,2,-1,-1,0,-0.184
3,-2,2,3,-1,-1,0,-0.184
1,4,1,-4,-1,0,0,-0.351
2,-3,2,3,-1,0,0,-0.164
3,-3,2,3,-1,0,0,-0.177
1,4,1,-4,-1,1,0,-0.358
2,-4,2,4,-1,1,0,-0.132
2,-4,1,5,-1,1,0,-0.121
2,-2,1,3,-1,1,0,-0.170
