dx2_measured, dy2_measured, dx1_measured, dx2_measured, dx_odom,dy_odom,dz_odom,dyaw_odom
-3,0,3,0,0,0,0,1.407
-2,0,2,0,1,0,0,1.439
-1,0,0,1,0,0,0,1.476
-4,1,3,0,0,0,0,1.411
-1,0,1,0,0,1,0,1.479
-1,0,-1,0,0,0,0,1.482
-4,1,0,1,0,0,0,1.460
0,1,0,1,0,0,0,1.487
-5,1,1,1,0,0,0,1.421
-5,1,1,1,0,0,0,1.423
-3,0,3,0,0,0,0,1.464
-3,1,1,2,0,0,0,1.475
-5,1,4,1,0,0,0,1.403
-3,1,1,1,0,0,0,1.474
-3,2,3,2,0,0,0,1.418
-3,1,2,1,0,0,0,1.458
-6,1,4,1,0,0,0,1.368
-4,1,3,2,0,0,0,1.438
-4,1,6,0,-1,0,0,1.363
-2,1,2,1,0,1,0,1.469
